,BUSCADOR DE CARRERAS 2026,,,,,,,,,,,,,,,,,,Porcentaje de matriculados según establecimiento de origen,,,,,,,,,,,Ponderaciones,,,,,,,,
Código único de carrera ,Código institución ,Área del conocimiento,Tipo de institución,Nombre institución,Nombre carrera,Región,Jornada,Sede,Arancel Anual 2026,Costo de titulación,Duración Formal (semestres),Nivel carrera ,Matrícula Total Femenina 2025,Matrícula Total Masculina 2025,Matrícula Total 2025,Matrícula 1er año Femenina 2025,Matrícula 1er año Masculina 2025,Matrícula 1er año Total 2025,Municipal y Servicios Locales,Particular Subvencionado ,Particular Pagado,Administración Delegada,Titulación Femenina 2024,Titlación Masculina 2024,Titulación Total 2024,Rango ingreso a 1er año con PAES 2025,Promedio PAES 2025 de Matrícula 1er año 2025,Promedio NEM 2025 de Matrícula 2025,Vacantes 1er semestre ,NEM,Ranking ,PAES Lenguaje,PAES Matemáticas ,PAES Matemáticas 2,PAES Historia ,PAES Ciencias ,Otros ,Área Carrera Genérica
I1S1C371J4V1,1,Ciencias Sociales,Universidades,UNIVERSIDAD GABRIELA MISTRAL,SOSTENIBILIDAD E INNOVACION SOCIAL,Metropolitana,A Distancia,CASA CENTRAL,$ 4.300.000,$ 430.000,6,Profesional,0,0,0,0,0,0,s/i,s/i,s/i,s/i,0,0,0, - , - , s/i ,45,0,0,0,0,0,0,0,0,Otros Profesionales de Ciencias Sociales
I1S1C3J1V1,1,Derecho,Universidades,UNIVERSIDAD GABRIELA MISTRAL,DERECHO,Metropolitana,Diurna,CASA CENTRAL,$ 5.999.000,$ 566.000,10,Profesional,80,58,138,9,4,13,14.2%,47.2%,37.8%,0.8%,6,10,16, - , - , 5.9 ,90,30,40,10,10,0,10,10,0,Derecho
I1S1C7J1V1,1,Administración y Comercio,Universidades,UNIVERSIDAD GABRIELA MISTRAL,INGENIERIA COMERCIAL,Metropolitana,Diurna,CASA CENTRAL,$ 5.752.000,$ 543.000,10,Profesional,24,43,67,6,4,10,15.4%,43.1%,36.9%,4.6%,0,1,1, - , - , 6.0 ,40,30,40,10,10,0,10,10,0,Ingeniería Comercial
I1S1C7J4V3,1,Administración y Comercio,Universidades,UNIVERSIDAD GABRIELA MISTRAL,INGENIERIA COMERCIAL,Metropolitana,A Distancia,CASA CENTRAL,$ 5.466.000,$ 516.000,4,Profesional,22,42,64,0,0,0,20.6%,61.8%,14.7%,2.9%,8,12,20, - , - , 5.7 ,41,0,0,0,0,0,0,0,0,Ingeniería Comercial
I1S1C7J4V4,1,Administración y Comercio,Universidades,UNIVERSIDAD GABRIELA MISTRAL,INGENIERIA COMERCIAL,Metropolitana,A Distancia,CASA CENTRAL,$ 5.466.000,$ 516.000,6,Profesional,51,32,83,0,0,0,24.1%,44.8%,29.3%,1.7%,2,0,2, - , - , 5.9 ,40,0,0,0,0,0,0,0,0,Ingeniería Comercial
I1S1C9J4V1,1,Humanidades,Universidades,UNIVERSIDAD GABRIELA MISTRAL,LICENCIATURA EN FILOSOFIA,Metropolitana,A Distancia,CASA CENTRAL,$ 3.407.000,$ 321.000,8,Profesional,13,40,53,1,4,5,27.6%,58.6%,13.8%,0.0%,0,5,5, - , - , 5.9 ,30,0,0,0,0,0,0,0,0,Filosofía
I1S1C9J4V2,1,Humanidades,Universidades,UNIVERSIDAD GABRIELA MISTRAL,LICENCIATURA EN FILOSOFIA,Metropolitana,A Distancia,CASA CENTRAL,$ 3.407.000,$ 340.000,4,Profesional,0,0,0,0,0,0,s/i,s/i,s/i,s/i,0,0,0, - , - , s/i ,20,0,0,0,0,0,0,0,0,Filosofía
I1S1C9J4V3,1,Humanidades,Universidades,UNIVERSIDAD GABRIELA MISTRAL,LICENCIATURA EN FILOSOFIA,Metropolitana,A Distancia,CASA CENTRAL,$ 3.407.000,$ 340.000,5,Profesional,0,0,0,0,0,0,s/i,s/i,s/i,s/i,0,0,0, - , - , s/i ,10,0,0,0,0,0,0,0,0,Filosofía
I2S1C10J1V2,2,Educación,Universidades,UNIVERSIDAD FINIS TERRAE,PEDAGOGIA EN EDUCACION BASICA,Metropolitana,Diurna,CASA CENTRAL (SANTIAGO),$ 4.650.000,$ 364.000,10,Profesional,77,15,92,16,2,18,31.5%,58.4%,6.7%,3.4%,7,1,8, - , - , 6.0 ,25,20,25,30,15,0,10,10,0,Pedagogía en Educación Básica
I2S1C11J1V2,2,Educación,Universidades,UNIVERSIDAD FINIS TERRAE,PEDAGOGIA EN EDUCACION PARVULARIA,Metropolitana,Diurna,CASA CENTRAL (SANTIAGO),$ 4.650.000,$ 364.000,10,Profesional,137,0,137,28,0,28,13.9%,70.8%,8.8%,6.6%,16,0,16, - , - , 6.1 ,25,20,25,30,15,0,10,10,0,Pedagogía en Educación de Párvulos
I2S1C12J1V1,2,Salud,Universidades,UNIVERSIDAD FINIS TERRAE,MEDICINA,Metropolitana,Diurna,CASA CENTRAL (SANTIAGO),$ 11.620.000,$ 364.000,14,Profesional,437,236,673,61,33,94,7.2%,20.3%,72.5%,0.0%,48,34,82, 80% <= X <= 100% , 909.6 , 6.8 ,80,15,25,15,30,0,0,15,0,Medicina
I2S1C130J1V3,2,Salud,Universidades,UNIVERSIDAD FINIS TERRAE,ENFERMERIA,Metropolitana,Diurna,CASA CENTRAL (SANTIAGO),$ 7.451.000,$ 364.000,10,Profesional,182,58,240,71,19,90,16.7%,73.2%,7.1%,2.9%,0,0,0, 80% <= X <= 100% , 678.6 , 6.5 ,80,20,15,25,30,0,0,10,0,Enfermería
I2S1C13J1V1,2,Salud,Universidades,UNIVERSIDAD FINIS TERRAE,ODONTOLOGIA,Metropolitana,Diurna,CASA CENTRAL (SANTIAGO),$ 11.510.000,$ 364.000,12,Profesional,282,111,393,54,20,74,21.7%,56.0%,21.0%,1.3%,20,5,25, 80% <= X <= 100% , 715.7 , 6.5 ,60,10,25,20,30,0,0,15,0,Odontología
I2S1C15J1V1,2,Salud,Universidades,UNIVERSIDAD FINIS TERRAE,KINESIOLOGIA,Metropolitana,Diurna,CASA CENTRAL (SANTIAGO),$ 7.390.000,$ 364.000,10,Profesional,176,244,420,39,49,88,18.6%,66.2%,14.3%,1.0%,34,26,60, 80% <= X <= 100% , 684.9 , 6.3 ,80,25,15,20,30,0,0,10,0,Kinesiología
I2S1C16J1V2,2,Salud,Universidades,UNIVERSIDAD FINIS TERRAE,NUTRICION Y DIETETICA,Metropolitana,Diurna,CASA CENTRAL (SANTIAGO),$ 6.870.000,$ 364.000,10,Profesional,281,71,352,61,16,77,20.2%,69.3%,8.5%,2.0%,32,4,36, 80% <= X <= 100% , 596.7 , 6.2 ,70,25,20,15,30,0,0,10,0,Nutrición y Dietética
I2S1C18J1V1,2,Humanidades,Universidades,UNIVERSIDAD FINIS TERRAE,LICENCIATURA EN LITERATURA,Metropolitana,Diurna,CASA CENTRAL (SANTIAGO),$ 5.480.000,$ 371.289,8,Profesional,70,14,84,5,2,7,22.5%,62.5%,12.5%,2.5%,15,5,20, - , - , 6.0 ,20,20,25,30,10,0,15,0,0,Licenciatura en Letras y Literatura
I2S1C1J1V1,2,Administración y Comercio,Universidades,UNIVERSIDAD FINIS TERRAE,INGENIERIA COMERCIAL,Metropolitana,Diurna,CASA CENTRAL (SANTIAGO),$ 7.400.000,$ 364.000,10,Profesional,448,536,984,110,128,238,15.2%,62.8%,17.0%,4.9%,52,60,112, 80% <= X <= 100% , 613.1 , 6.1 ,175,10,30,10,40,0,10,10,0,Ingeniería Comercial
I2S1C220J1V2,2,Administración y Comercio,Universidades,UNIVERSIDAD FINIS TERRAE,CONTADOR AUDITOR,Metropolitana,Diurna,CASA CENTRAL (SANTIAGO),$ 4.760.000,$ 364.000,9,Profesional,61,48,109,33,16,49,17.4%,61.5%,0.9%,20.2%,0,0,0, 80% <= X <= 100% , 575.0 , 6.1 ,45,10,30,15,35,0,10,10,0,Contador Auditor
